english_label,arabic_label,score,signature,cohen_kappa
bed,السرير,3,annot_2,
shoreline,شورلاين,1,annot_2,
reign,فتره حكم,2,annot_2,
corn,حبوب ذرة,3,annot_2,
tail light,ذيل خفيفة,1,annot_2,
entertainment center,مركز ترفيهي,3,annot_2,
word,كلمة,3,annot_2,
store,متجر,3,annot_2,
shin guards,حراس شين,1,annot_2,
bar stool,كرسي بار,3,annot_2,
market,سوق,3,annot_2,
waist,وسط,2,annot_2,
table cloth,مفرش طاولة,2,annot_2,
scissors,مقص,3,annot_2,
mound,تل,3,annot_2,
muzzle,كمامة,2,annot_2,
plaque,الترسبات,3,annot_2,
hair,شعر,3,annot_2,
cheek,الخد,3,annot_2,
roll,تدحرج,2,annot_2,
snowflake,ندفة الثلج,2,annot_2,
truck,شاحنة,3,annot_2,
male,ذكر,3,annot_2,
crab,سلطعون,3,annot_2,
flower pot,ورد وعاء,2,annot_2,
cap,قبعة,3,annot_2,
earphone,سماعة الأذن,3,annot_2,
chin,ذقن,3,annot_2,
mane,ماني,1,annot_2,
stairway,سلم,3,annot_2,
ship,سفينة,3,annot_2,
shelter,مأوى,3,annot_2,
robe,رداء - روب,2,annot_2,
court,ملعب تنس,3,annot_2,
milk,لبن,3,annot_2,
scooter,سكوتر,3,annot_2,
heart,قلب,3,annot_2,
ad,ميلادي,1,annot_2,
cracker,تكسير,1,annot_2,
jacket,السترة,3,annot_2,
building,بناء,2,annot_2,
deck,ظهر السفينة,3,annot_2,
ski boot,تزلج حذاء طويل,2,annot_2,
knee,ركبة,3,annot_2,
ribbon,شريط,3,annot_2,
horse,حصان,3,annot_2,
emblem,شعار,3,annot_2,
meat,لحمة,3,annot_2,
spray,رش,2,annot_2,
spectator,المشاهد,3,annot_2,
beer,جعة,3,annot_2,
computer,الحاسوب,3,annot_2,
toilet bowl,الحمام صحن,1,annot_2,
field,حقل,3,annot_2,
coat,معطف,3,annot_2,
spoon,ملعقة,3,annot_2,
bottle,زجاجة,3,annot_2,
cow,بقرة,3,annot_2,
